Station Order,Station ID,Station Name,Exercise Type,Exercise Name,Description,Official Requirement,Base Value,Unit,Intensity,Conversion Factor,Equipment Needed,Muscle Groups,Men Open Weight,Men Pro Weight,Women Open Weight,Women Pro Weight,Video URL
1,skierg,SkiErg,Official,SkiErg,Vertical pulling movement simulating cross-country skiing,1000m,1000,m,,,,"lats, shoulders, triceps, core",N/A,N/A,N/A,N/A,https://www.youtube.com/watch?v=dU-gLHDPOj4
1,skierg,SkiErg,Alternative,Medicine Ball Slams,100 reps of explosive ball slams,,100,reps,high,1,medicine_ball,"lats, shoulders, core",,,,,https://www.youtube.com/watch?v=N7t9BX-DExI
1,skierg,SkiErg,Alternative,Battle Rope Slams,3 min of alternating slams,,180,s,high,1,battle_ropes,"shoulders, core, cardio",,,,,
1,skierg,SkiErg,Alternative,Dumbbell Pullovers,50 reps lying pullovers - less specific due to lying position,,50,reps,medium,0.7,dumbbells,"lats, triceps, chest",,,,,
1,skierg,SkiErg,Alternative,Explosive Lat Pulldowns,75 reps fast concentric pull - mimics SkiErg downward pull pattern,,75,reps,high,1.1,cable_machine,"lats, triceps, core",,,,,
1,skierg,SkiErg,Alternative,Straight-Arm Cable Pulldowns,75 reps - nearly identical movement pattern to SkiErg,,75,reps,high,1.1,cable_machine,"lats, triceps, core",,,,,
1,skierg,SkiErg,Alternative,Dead Ball Slams,80 reps with heavy non-bouncing ball,,80,reps,high,1.1,dead_ball,"lats, shoulders, core",,,,,
1,skierg,SkiErg,Alternative,Kettlebell Swings,75 explosive hip hinge with arm drive down,,75,reps,high,1,kettlebell,"lats, glutes, core",,,,,
1,skierg,SkiErg,Alternative,Band Pull-Aparts + Tricep Pushdowns,50 each in superset,,100,reps,medium,0.9,resistance_bands,"shoulders, triceps",,,,,
2,sled_push,Sled Push,Official,Sled Push,Push a weighted sled across the floor,50m,50,m,,,,"quads, glutes, calves, core",152kg,202kg,102kg,152kg,https://www.youtube.com/watch?v=DeTUDPo6_YM
2,sled_push,Sled Push,Alternative,Weighted Hill Sprints,4x50m uphill with vest,,200,m,high,1,weighted_vest,"quads, glutes, calves",,,,,
2,sled_push,Sled Push,Alternative,Bear Crawls,100m forward bear crawl - conditioning but different pattern,,100,m,high,0.7,,"core, shoulders, quads",,,,,
2,sled_push,Sled Push,Alternative,Stair Climbs with Weight,5 floors with heavy backpack,,5,floors,high,1,backpack,"quads, glutes, calves",,,,,
2,sled_push,Sled Push,Alternative,Incline Treadmill Sprint,3 min at 15% max incline - best gym alternative,,180,s,high,1.1,treadmill,"quads, glutes, calves",,,,,
2,sled_push,Sled Push,Alternative,Plate Push on Floor,50m pushing 20kg plate on towel on smooth floor,,50,m,high,1.1,"weight_plate, towel","quads, glutes, core",,,,,
2,sled_push,Sled Push,Alternative,Leg Press Sprints,60 fast tempo reps at moderate weight,,60,reps,high,0.9,leg_press,"quads, glutes",,,,,
3,sled_pull,Sled Pull,Official,Sled Pull,Pull a weighted sled using a rope,50m,50,m,,,,"back, biceps, grip, core",103kg,153kg,78kg,103kg,https://www.youtube.com/watch?v=Wgi3b40uDEY
